                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+5.6666669622063637e-01,                     35,                      1,                      9,                      1,                    0x2,+7.6094024658203125e+02,+1.7500367164611816e+00,+3.6687833926407620e-05,+1.0603269765852019e-04,-3.8835990708321333e-03,-1.7731597381498432e-06,                      3,+3.4386423230171204e-01,
+5.8333336375653744e-01,                     36,                      1,                      9,                      1,                    0x2,+7.6091882324218750e+02,+1.7500391006469727e+00,+3.9078782720025629e-05,+1.0603269765852019e-04,-3.8835604209452868e-03,-1.8629600617714459e-06,                      3,+3.6528518795967102e-01,
+6.0000003129243851e-01,                     37,                      1,                      9,                      1,                    0x2,+7.6089678955078125e+02,+1.7500416040420532e+00,+4.1548351873643696e-05,+1.0650953481672332e-04,-3.8835194427520037e-03,-1.9572353266994469e-06,                      3,+3.8735520839691162e-01,
+6.1666669882833958e-01,                     38,                      1,                      9,                      1,                    0x2,+7.6087402343750000e+02,+1.7500441074371338e+00,+4.4096112105762586e-05,+1.0650953481672332e-04,-3.8834754377603531e-03,-2.0501149720075773e-06,                      3,+4.1007426381111145e-01,
+6.3333336636424065e-01,                     39,                      1,                      9,                      1,                    0x2,+7.6085064697265625e+02,+1.7500467300415039e+00,+4.6721430408069864e-05,+1.0698637197492644e-04,-3.8834286388009787e-03,-2.1410653516795719e-06,                      3,+4.3344235420227051e-01,
+6.5000003390014172e-01,                     40,                      1,                      9,                      1,                    0x2,+7.6082666015625000e+02,+1.7500494718551636e+00,+4.9424001190345734e-05,+1.0698637197492644e-04,-3.8833792787045240e-03,-2.2366539269569330e-06,                      3,+4.5745944976806641e-01,
+6.6666670143604279e-01,                     41,                      1,                      9,                      1,                    0x2,+7.6080200195312500e+02,+1.7500522136688232e+00,+5.2203031373210251e-05,+1.0698637197492644e-04,-3.8833264261484146e-03,-2.3299369331652997e-06,                      3,+4.8212558031082153e-01,
+6.8333336897194386e-01,                     42,                      1,                      9,                      1,                    0x2,+7.6077667236328125e+02,+1.7500550746917725e+00,+5.5057786084944382e-05,+1.0698637197492644e-04,-3.8832705467939377e-03,-2.4242826839326881e-06,                      3,+5.0744068622589111e-01,
+7.0000003650784492e-01,                     43,                      1,                      9,                      1,                    0x2,+7.6075073242187500e+02,+1.7500579357147217e+00,+5.7987468608189374e-05,+1.0650953481672332e-04,-3.8832111749798059e-03,-2.5196893602696946e-06,                      3,+5.3340482711791992e-01,
+7.1666670404374599e-01,                     44,                      1,                      9,                      1,                    0x2,+7.6072412109375000e+02,+1.7500610351562500e+00,+6.0990842030150816e-05,+1.0650953481672332e-04,-3.8831485435366631e-03,-2.6118018467968795e-06,                      3,+5.6001788377761841e-01,
+7.3333337157964706e-01,                     45,                      1,                      9,                      1,                    0x2,+7.6069683837890625e+02,+1.7500640153884888e+00,+6.4067135099321604e-05,+1.0650953481672332e-04,-3.8830819539725780e-03,-2.7091239189758198e-06,                      3,+5.8727991580963135e-01,
+7.5000003911554813e-01,                     46,                      1,                      9,                      1,                    0x2,+7.6066894531250000e+02,+1.7500672340393066e+00,+6.7214932641945779e-05,+1.0650953481672332e-04,-3.8830114062875509e-03,-2.8027352527715266e-06,                      3,+6.1519092321395874e-01,
+7.6666670665144920e-01,                     47,                      1,                      9,                      1,                    0x2,+7.6064038085937500e+02,+1.7500704526901245e+00,+7.0432921347673982e-05,+1.0603269765852019e-04,-3.8829371333122253e-03,-2.8969852792215534e-06,                      3,+6.4375090599060059e-01,
+7.8333337418735027e-01,                     48,                      1,                      9,                      1,                    0x2,+7.6061114501953125e+02,+1.7500736713409424e+00,+7.3719289503060281e-05,+1.0603269765852019e-04,-3.8828586693853140e-03,-2.9866512250009691e-06,                      3,+6.7295974493026733e-01,
