                simTime,               simFrame,               objectId,               category,                   type,                vismask,                   name,                   dimX,                   dimY,                   dimZ,                   offX,                   offY,                   offZ,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,               distance,
+5.3333336114883423e-01,                     33,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5944551851356113e+02,-1.9099582266844760e+02,-4.9652580696864963e-03,+2.8936715126037598e+00,-3.8836689200252295e-03,-2.3628988401469542e-06,                    0x3,                      0,                      0,-1.1512557268142700e+00,+2.9142194986343384e-01,+4.6121072955429554e-03,-2.9763599741272628e-04,+1.9025801520911045e-06,-7.5773100434162188e-06,                    0x3,                      0,                      0,-2.2645294666290283e+00,+5.7358205318450928e-01,+9.0723885223269463e-03,-3.8148483145050704e-04,+7.1346717049891595e-06,-1.1486917372849348e-07,                    0x1,                      0,                      0,+3.0624046921730042e-01,
+5.5000002868473530e-01,                     34,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5942601641431440e+02,-1.9099088591525961e+02,-4.9652149953973556e-03,+2.8936665058135986e+00,-3.8836351595818996e-03,-2.4912021672207629e-06,                    0x3,                      0,                      0,-1.1889976263046265e+00,+3.0098223686218262e-01,+4.7632716596126556e-03,-3.0383619014173746e-04,+2.0214913547533797e-06,-7.6981896199868061e-06,                    0x3,                      0,                      0,-2.2645020484924316e+00,+5.7360714673995972e-01,+9.0722311288118362e-03,-3.7201153463684022e-04,+7.1346717049891595e-06,-7.2527741394878831e-06,                    0x1,                      0,                      0,+3.2635772228240967e-01,
+5.6666669622063637e-01,                     35,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5940588528862725e+02,-1.9098578981803905e+02,-4.9651688805701514e-03,+2.8936612606048584e+00,-3.8835990708321333e-03,-2.6187578896497143e-06,                    0x3,                      0,                      0,-1.2267389297485352e+00,+3.1054294109344482e-01,+4.9144295044243336e-03,-3.0956664704717696e-04,+2.1641849343723152e-06,-7.6533515311894007e-06,                    0x3,                      0,                      0,-2.2644734382629395e+00,+5.7363200187683105e-01,+9.0720625594258308e-03,-3.4382738522253931e-04,+8.5616147771361284e-06,+2.6902851004706463e-06,                    0x1,                      0,                      0,+3.4712386131286621e-01,
+5.8333336375653744e-01,                     36,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5938512514462775e+02,-1.9098053436982275e+02,-4.9651192184485392e-03,+2.8936560153961182e+00,-3.8835604209452868e-03,-2.7478395168145653e-06,                    0x3,                      0,                      0,-1.2644798755645752e+00,+3.2010406255722046e-01,+5.0655789673328400e-03,-3.1513004796579480e-04,+2.3306606635742355e-06,-7.7448958109016530e-06,                    0x3,                      0,                      0,-2.2644431591033936e+00,+5.7365685701370239e-01,+9.0718809515237808e-03,-3.3380402601324022e-04,+9.9885428426205181e-06,-5.4926563279877882e-06,                    0x1,                      0,                      0,+3.6853888630867004e-01,
+6.0000003129243851e-01,                     37,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5936373599041173e+02,-1.9097511956377548e+02,-4.9650670225452054e-03,+2.8936507701873779e+00,-3.8835194427520037e-03,-2.8753399874403840e-06,                    0x3,                      0,                      0,-1.3022202253341675e+00,+3.2966554164886475e-01,+5.2167214453220367e-03,-3.2019498758018017e-04,+2.4495718662365107e-06,-7.6500245995703153e-06,                    0x3,                      0,                      0,-2.2644114494323730e+00,+5.7368141412734985e-01,+9.0716909617185593e-03,-3.0389634775929153e-04,+7.1346717049891595e-06,+5.6922722251329105e-06,                    0x1,                      0,                      0,+3.9060279726982117e-01,
+6.1666669882833958e-01,                     38,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5934171783604063e+02,-1.9096954539334868e+02,-4.9650107725911167e-03,+2.8936452865600586e+00,-3.8834754377603531e-03,-3.0038409022381529e-06,                    0x3,                      0,                      0,-1.3399599790573120e+00,+3.3922746777534485e-01,+5.3678546100854874e-03,-3.2508297590538859e-04,+2.6398299723950913e-06,-7.7100503403926268e-06,                    0x3,                      0,                      0,-2.2643780708312988e+00,+5.7370579242706299e-01,+9.0714851394295692e-03,-2.9327927040867507e-04,+1.1415485460020136e-05,-3.6015442219650140e-06,                    0x1,                      0,                      0,+4.1331559419631958e-01,
+6.3333336636424065e-01,                     39,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5931907068972487e+02,-1.9096381185143503e+02,-4.9649509753426158e-03,+2.8936398029327393e+00,-3.8834286388009787e-03,-3.1332467642641859e-06,                    0x3,                      0,                      0,-1.3776992559432983e+00,+3.4878981113433838e-01,+5.5189784616231918e-03,-3.2979852403514087e-04,+2.8063057015970116e-06,-7.7643553595407866e-06,                    0x3,                      0,                      0,-2.2643427848815918e+00,+5.7373011112213135e-01,+9.0712662786245346e-03,-2.8293285868130624e-04,+9.9885428426205181e-06,-3.2583009215159109e-06,                    0x1,                      0,                      0,+4.3667724728584290e-01,
+6.5000003390014172e-01,                     40,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5929579456152737e+02,-1.9095791893161550e+02,-4.9648876307997010e-03,+2.8936340808868408e+00,-3.8833792787045240e-03,-3.2599002679489786e-06,                    0x3,                      0,                      0,-1.4154379367828369e+00,+3.5835254192352295e-01,+5.6700929999351501e-03,-3.3398074447177351e-04,+2.9727814307989320e-06,-7.5992097663402092e-06,                    0x3,                      0,                      0,-2.2643060684204102e+00,+5.7375377416610718e-01,+9.0710353106260300e-03,-2.5093322619795799e-04,+9.9885428426205181e-06,+9.9087346825399436e-06,                    0x1,                      0,                      0,+4.6068775653839111e-01,
+6.6666670143604279e-01,                     41,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5927188946156826e+02,-1.9095186662729097e+02,-4.9648202322060252e-03,+2.8936285972595215e+00,-3.8833264261484146e-03,-3.3868911941681290e-06,                    0x3,                      0,                      0,-1.4531760215759277e+00,+3.6791566014289856e-01,+5.8211972936987877e-03,-3.3797946525737643e-04,+3.1630395369575126e-06,-7.6194519351702183e-06,                    0x3,                      0,                      0,-2.2642674446105957e+00,+5.7377719879150391e-01,+9.0707885101437569e-03,-2.3992323258426040e-04,+1.1415485460020136e-05,-1.2145300161137129e-06,                    0x1,                      0,                      0,+4.8534712195396423e-01,
+6.8333336897194386e-01,                     42,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5924735539992110e+02,-1.9094565493213594e+02,-4.9647487795615878e-03,+2.8936228752136230e+00,-3.8832705467939377e-03,-3.5101666071568616e-06,                    0x3,                      0,                      0,-1.4909132719039917e+00,+3.7747913599014282e-01,+5.9722899459302425e-03,-3.4141450305469334e-04,+3.3532976431160932e-06,-7.3965220508398488e-06,                    0x3,                      0,                      0,-2.2642271518707275e+00,+5.7379966974258423e-01,+9.0705277398228645e-03,-2.0610225328709930e-04,+1.1415485460020136e-05,+1.3375792150327470e-05,                    0x1,                      0,                      0,+5.1065534353256226e-01,
