                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,                accMask,               accSpeed,           batteryState,            batteryRate,       displayLightMask,              fuelGauge,
+1.1000000573694706e+00,                     67,                      1,                      0,+2.1604618057608604e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.1166667249053717e+00,                     68,                      1,                      0,+2.2893598303198814e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.1333333924412727e+00,                     69,                      1,                      0,+2.4099413305521011e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.1500000599771738e+00,                     70,                      1,                      0,+2.5221679359674454e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.1666667275130749e+00,                     71,                      1,                      0,+2.6262586936354637e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.1833333950489759e+00,                     72,                      1,                      0,+2.7223672717809677e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.2000000625848770e+00,                     73,                      1,                      0,+2.8104538097977638e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.2166667301207781e+00,                     74,                      1,                      0,+2.8908651322126389e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.2333333976566792e+00,                     75,                      1,                      0,+2.9635613784193993e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.2500000651925802e+00,                     76,                      1,                      0,+3.0288901180028915e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.2666667327284813e+00,                     77,                      1,                      0,+3.0868770554661751e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.2833334002643824e+00,                     78,                      1,                      0,+3.1377427279949188e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.3000000678002834e+00,                     79,                      1,                      0,+3.1816437840461731e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.3166667353361845e+00,                     80,                      1,                      0,+3.2188672572374344e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.3333334028720856e+00,                     81,                      1,                      0,+3.2495088875293732e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.3500000704079866e+00,                     82,                      1,                      0,+3.2737951725721359e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.3666667379438877e+00,                     83,                      1,                      0,+3.2919537276029587e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.3833334054797888e+00,                     84,                      1,                      0,+3.3041514456272125e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4000000730156898e+00,                     85,                      1,                      0,+3.3106856048107147e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4166667405515909e+00,                     86,                      1,                      0,+3.3116627484560013e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4333334080874920e+00,                     87,                      1,                      0,+3.3073861151933670e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4500000756233931e+00,                     88,                      1,                      0,+3.2980971038341522e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4666667431592941e+00,                     89,                      1,                      0,+3.2839115709066391e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
