                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+8.2283337624743581e+01,                   4938,                      1,                     36,                      1,                    0x2,+4.6541065216064453e+01,+1.8591346740722656e+00,-1.5865346416831017e-02,+5.3185541182756424e-03,+2.7412714436650276e-02,+5.3982571698725224e-03,                      3,+8.1202105712890625e+02,
+8.2300004292279482e+01,                   4939,                      1,                     36,                      1,                    0x2,+4.6425624847412109e+01,+1.8593962192535400e+00,-1.5603760257363319e-02,+4.7968942672014236e-03,+2.7691112831234932e-02,+5.3817997686564922e-03,                      3,+8.1213653564453125e+02,
+8.2316670959815383e+01,                   4940,                      1,                     36,                      1,                    0x2,+4.6310142517089844e+01,+1.8595973253250122e+00,-1.5402670018374920e-02,+4.2606908828020096e-03,+2.7967911213636398e-02,+5.3509604185819626e-03,                      3,+8.1225201416015625e+02,
+8.2333337627351284e+01,                   4941,                      1,                     36,                      1,                    0x2,+4.6194614410400391e+01,+1.8597372770309448e+00,-1.5262695960700512e-02,+3.7149509880691767e-03,+2.8243107721209526e-02,+5.3071444854140282e-03,                      3,+8.1236755371093750e+02,
+8.2350004294887185e+01,                   4942,                      1,                     36,                      1,                    0x2,+4.6079044342041016e+01,+1.8598159551620483e+00,-1.5184033662080765e-02,+3.1632503960281610e-03,+2.8516696766018867e-02,+5.2516548894345760e-03,                      3,+8.1248309326171875e+02,
+8.2366670962423086e+01,                   4943,                      1,                     36,                      1,                    0x2,+4.5963424682617188e+01,+1.8598539829254150e+00,-1.5145958401262760e-02,+2.6961883995682001e-03,+2.8788676485419273e-02,+4.9386019818484783e-03,                      3,+8.1259869384765625e+02,
+8.2383337629958987e+01,                   4944,                      1,                     36,                      1,                    0x2,+4.5847763061523438e+01,+1.8598623275756836e+00,-1.5137626789510250e-02,+2.3175796959549189e-03,+2.9059039428830147e-02,+4.6156039461493492e-03,                      3,+8.1271435546875000e+02,
+8.2400004297494888e+01,                   4945,                      1,                     36,                      1,                    0x2,+4.5732055664062500e+01,+1.8598498106002808e+00,-1.5150150284171104e-02,+2.0212254021316767e-03,+2.9327789321541786e-02,+4.3111122213304043e-03,                      3,+8.1283007812500000e+02,
+8.2416670965030789e+01,                   4946,                      1,                     36,                      1,                    0x2,+4.5616302490234375e+01,+1.8598244190216064e+00,-1.5175585635006428e-02,+1.7987807514145970e-03,+2.9594924300909042e-02,+4.0272027254104614e-03,                      3,+8.1294586181640625e+02,
+8.2433337632566690e+01,                   4947,                      1,                     36,                      1,                    0x2,+4.5500503540039062e+01,+1.8597933053970337e+00,-1.5206706710159779e-02,+1.6445239307358861e-03,+2.9860444366931915e-02,+3.7622072268277407e-03,                      3,+8.1306164550781250e+02,
+8.2450004300102592e+01,                   4948,                      1,                     36,                      1,                    0x2,+4.5384658813476562e+01,+1.8597631454467773e+00,-1.5236906707286835e-02,+1.5524943592026830e-03,+3.0124343931674957e-02,+3.5140286199748516e-03,                      3,+8.1317749023437500e+02,
+8.2466670967638493e+01,                   4949,                      1,                     36,                      1,                    0x2,+4.5268768310546875e+01,+1.8597398996353149e+00,-1.5260133892297745e-02,+1.5164931537583470e-03,+3.0386621132493019e-02,+3.2809399999678135e-03,                      3,+8.1329339599609375e+02,
+8.2483337635174394e+01,                   4950,                      1,                     36,                      1,                    0x2,+4.5152832031250000e+01,+1.8597291707992554e+00,-1.5270833857357502e-02,+1.5327056171372533e-03,+3.0647275969386101e-02,+3.0613127164542675e-03,                      3,+8.1340930175781250e+02,
+8.2500004302710295e+01,                   4951,                      1,                     36,                      1,                    0x2,+4.5036849975585938e+01,+1.8597360849380493e+00,-1.5263863839209080e-02,+1.5963633777573705e-03,+3.0906302854418755e-02,+2.8533306904137135e-03,                      3,+8.1352526855468750e+02,
+8.2516670970246196e+01,                   4952,                      1,                     36,                      1,                    0x2,+4.4920822143554688e+01,+1.8597655296325684e+00,-1.5234473161399364e-02,+1.7041285755112767e-03,+3.1163705512881279e-02,+2.6558523532003164e-03,                      3,+8.1364129638671875e+02,
+8.2533337637782097e+01,                   4953,                      1,                     36,                      1,                    0x2,+4.4804748535156250e+01,+1.8598217964172363e+00,-1.5178228728473186e-02,+1.8526633502915502e-03,+3.1419474631547928e-02,+2.4674187880009413e-03,                      3,+8.1375738525390625e+02,
+8.2550004305317998e+01,                   4954,                      1,                     36,                      1,                    0x2,+4.4688629150390625e+01,+1.8599090576171875e+00,-1.5090991742908955e-02,+2.0388683769851923e-03,+3.1673610210418701e-02,+2.2869678214192390e-03,                      3,+8.1387353515625000e+02,
+8.2566670972853899e+01,                   4955,                      1,                     36,                      1,                    0x2,+4.4572460174560547e+01,+1.8600311279296875e+00,-1.4968882314860821e-02,+2.2601208183914423e-03,+3.1926114112138748e-02,+2.1135548595339060e-03,                      3,+8.1398968505859375e+02,
+8.2583337640389800e+01,                   4956,                      1,                     36,                      1,                    0x2,+4.4456222534179688e+01,+1.8601911067962646e+00,-1.4808889478445053e-02,+2.5014004204422235e-03,+3.2177034765481949e-02,+1.9459251780062914e-03,                      3,+8.1410589599609375e+02,
