                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+3.6016668545082211e+01,                   2162,                      1,                      4,                      1,                    0x2,+3.4171542358398438e+02,+2.3015742301940918e+00,+4.2657417058944702e-01,-2.2753158118575811e-03,+6.1533390544354916e-03,+8.9299173851031810e-05,                      3,+4.2585714721679688e+02,
+3.6033335212618113e+01,                   2163,                      1,                      4,                      1,                    0x2,+3.4150982666015625e+02,+2.3010988235473633e+00,+4.2609891295433044e-01,-2.2934356238692999e-03,+6.1433804221451283e-03,+9.0207198809366673e-05,                      3,+4.2606274414062500e+02,
+3.6050001880154014e+01,                   2164,                      1,                      4,                      1,                    0x2,+3.4130529785156250e+02,+2.3006222248077393e+00,+4.2562219500541687e-01,-2.3120322730392218e-03,+6.1331870965659618e-03,+9.0976725914515555e-05,                      3,+4.2626727294921875e+02,
+3.6066668547689915e+01,                   2165,                      1,                      4,                      1,                    0x2,+3.4110177612304688e+02,+2.3001439571380615e+00,+4.2514398694038391e-01,-2.3308673407882452e-03,+6.1227525584399700e-03,+9.1804453404620290e-05,                      3,+4.2647079467773438e+02,
+3.6083335215225816e+01,                   2166,                      1,                      4,                      1,                    0x2,+3.4089926147460938e+02,+2.2996642589569092e+00,+4.2466428875923157e-01,-2.3499408271163702e-03,+6.1120712198317051e-03,+9.2493261035997421e-05,                      3,+4.2667330932617188e+02,
+3.6100001882761717e+01,                   2167,                      1,                      4,                      1,                    0x2,+3.4069778442382812e+02,+2.2991831302642822e+00,+4.2418310046195984e-01,-2.3690143134444952e-03,+6.1011370271444321e-03,+9.3141163233667612e-05,                      3,+4.2687478637695312e+02,
+3.6116668550297618e+01,                   2168,                      1,                      4,                      1,                    0x2,+3.4049731445312500e+02,+2.2987003326416016e+00,+4.2370036244392395e-01,-2.3885646369308233e-03,+6.0899429954588413e-03,+9.3748400104232132e-05,                      3,+4.2707525634765625e+02,
+3.6133335217833519e+01,                   2169,                      1,                      4,                      1,                    0x2,+3.4029788208007812e+02,+2.2982161045074463e+00,+4.2321610450744629e-01,-2.4083533789962530e-03,+6.0784821398556232e-03,+9.4412287580780685e-05,                      3,+4.2727468872070312e+02,
+3.6150001885369420e+01,                   2170,                      1,                      4,                      1,                    0x2,+3.4009945678710938e+02,+2.2977304458618164e+00,+4.2273032665252686e-01,-2.4281421210616827e-03,+6.0667488723993301e-03,+9.4938252004794776e-05,                      3,+4.2747311401367188e+02,
+3.6166668552905321e+01,                   2171,                      1,                      4,                      1,                    0x2,+3.3990203857421875e+02,+2.2972431182861328e+00,+4.2224299907684326e-01,-2.4484077002853155e-03,+6.0547352768480778e-03,+9.5423296443186700e-05,                      3,+4.2767053222656250e+02,
+3.6183335220441222e+01,                   2172,                      1,                      4,                      1,                    0x2,+3.3970562744140625e+02,+2.2967541217803955e+00,+4.2175415158271790e-01,-2.4686732795089483e-03,+6.0424348339438438e-03,+9.5964882348198444e-05,                      3,+4.2786694335937500e+02,
+3.6200001887977123e+01,                   2173,                      1,                      4,                      1,                    0x2,+3.3951022338867188e+02,+2.2962636947631836e+00,+4.2126375436782837e-01,-2.4891772773116827e-03,+6.0298396274447441e-03,+9.6370036771986634e-05,                      3,+4.2806234741210938e+02,
+3.6216668555513024e+01,                   2174,                      1,                      4,                      1,                    0x2,+3.3931585693359375e+02,+2.2957718372344971e+00,+4.2077180743217468e-01,-2.5099196936935186e-03,+6.0169431380927563e-03,+9.6831507107708603e-05,                      3,+4.2825671386718750e+02,
+3.6233335223048925e+01,                   2175,                      1,                      4,                      1,                    0x2,+3.3912246704101562e+02,+2.2952783107757568e+00,+4.2027831077575684e-01,-2.5309005286544561e-03,+6.0037365183234215e-03,+9.7253847343381494e-05,                      3,+4.2845010375976562e+02,
+3.6250001890584826e+01,                   2176,                      1,                      4,                      1,                    0x2,+3.3893008422851562e+02,+2.2947833538055420e+00,+4.1978326439857483e-01,-2.5521197821944952e-03,+5.9902132488787174e-03,+9.7637079306878150e-05,                      3,+4.2864248657226562e+02,
+3.6266668558120728e+01,                   2177,                      1,                      4,                      1,                    0x2,+3.3873870849609375e+02,+2.2942867279052734e+00,+4.1928669810295105e-01,-2.5733390357345343e-03,+5.9763649478554726e-03,+9.7981872386299074e-05,                      3,+4.2883386230468750e+02,
+3.6283335225656629e+01,                   2178,                      1,                      4,                      1,                    0x2,+3.3854833984375000e+02,+2.2937886714935303e+00,+4.1878858208656311e-01,-2.5950351264327765e-03,+5.9621832333505154e-03,+9.8288954177405685e-05,                      3,+4.2902423095703125e+02,
+3.6300001893192530e+01,                   2179,                      1,                      4,                      1,                    0x2,+3.3835894775390625e+02,+2.2932889461517334e+00,+4.1828891634941101e-01,-2.6167312171310186e-03,+5.9476597234606743e-03,+9.8653777968138456e-05,                      3,+4.2921362304687500e+02,
+3.6316668560728431e+01,                   2180,                      1,                      4,                      1,                    0x2,+3.3817056274414062e+02,+2.2927877902984619e+00,+4.1778773069381714e-01,-2.6384273078292608e-03,+5.9327865019440651e-03,+9.8887430795002729e-05,                      3,+4.2940200805664062e+02,
+3.6333335228264332e+01,                   2181,                      1,                      4,                      1,                    0x2,+3.3798318481445312e+02,+2.2922849655151367e+00,+4.1728502511978149e-01,-2.6606002356857061e-03,+5.9175551868975163e-03,+9.9179480457678437e-05,                      3,+4.2958938598632812e+02,
+3.6350001895800233e+01,                   2182,                      1,                      4,                      1,                    0x2,+3.3779675292968750e+02,+2.2917807102203369e+00,+4.1678076982498169e-01,-2.6827731635421515e-03,+5.9019555337727070e-03,+9.9530516308732331e-05,                      3,+4.2977581787109375e+02,
+3.6366668563336134e+01,                   2183,                      1,                      4,                      1,                    0x2,+3.3761135864257812e+02,+2.2912750244140625e+00,+4.1627499461174011e-01,-2.7051845099776983e-03,+5.8859796263277531e-03,+9.9752898677252233e-05,                      3,+4.2996121215820312e+02,
+3.6383335230872035e+01,                   2184,                      1,                      4,                      1,                    0x2,+3.3742691040039062e+02,+2.2907676696777344e+00,+4.1576772928237915e-01,-2.7278342749923468e-03,+5.8696186169981956e-03,+1.0003460920415819e-04,                      3,+4.3014566040039062e+02,
