                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,                accMask,               accSpeed,           batteryState,            batteryRate,       displayLightMask,              fuelGauge,
+1.3833334054797888e+00,                     84,                      1,                      0,+3.2004289329051971e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4000000730156898e+00,                     85,                      1,                      0,+3.2078243792057037e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4166667405515909e+00,                     86,                      1,                      0,+3.2096002250909805e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4333334080874920e+00,                     87,                      1,                      0,+3.2061226665973663e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4500000756233931e+00,                     88,                      1,                      0,+3.1975042074918747e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4666667431592941e+00,                     89,                      1,                      0,+3.1839881092309952e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.4833334106951952e+00,                     90,                      1,                      0,+3.1658217310905457e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.5000000782310963e+00,                     91,                      1,                      0,+3.1432554125785828e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.5166667457669973e+00,                     92,                      1,                      0,+3.1164143234491348e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.5333334133028984e+00,                     93,                      1,                      0,+3.0855562537908554e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.5500000808387995e+00,                     94,                      1,                      0,+3.0508780851960182e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.5666667483747005e+00,                     95,                      1,                      0,+3.0127095058560371e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.5833334159106016e+00,                     96,                      1,                      0,+2.9711265116930008e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.6000000834465027e+00,                     97,                      1,                      0,+2.9264662414789200e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.6166667509824038e+00,                     98,                      1,                      0,+2.8788132593035698e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.6333334185183048e+00,                     99,                      1,                      0,+2.8284480795264244e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.6500000860542059e+00,                    100,                      1,                      0,+2.7755917981266975e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.6666667535901070e+00,                    101,                      1,                      0,+2.7204051613807678e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
