                simTime,               simFrame,               objectId,               category,                   type,                vismask,                   name,                   dimX,                   dimY,                   dimZ,                   offX,                   offY,                   offZ,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,               distance,
+1.1333333924412727e+00,                     69,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6199107906550682e+02,-1.9097336682538077e+02,-4.9604590870852075e-03,+2.9013788700103760e+00,-3.8799152243882418e-03,+4.1706368210725486e-04,                    0x3,                      0,                      0,-2.5146276950836182e+00,+6.1487066745758057e-01,+1.0043948888778687e-02,+2.4100031703710556e-02,+1.2652158147830050e-05,+1.9173319451510906e-03,                    0x3,                      0,                      0,-2.2816166877746582e+00,+4.9463444948196411e-01,+9.0548601001501083e-03,+9.0424410998821259e-02,+2.9965629437356256e-05,-3.9262227801373228e-05,                    0x1,                      0,                      0,+1.4391887187957764e+00,
+1.1500000599771738e+00,                     70,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6194884906895896e+02,-1.9096306114033467e+02,-4.9601783440670856e-03,+2.9018049240112305e+00,-3.8796956650912762e-03,+4.4893423910252750e-04,                    0x3,                      0,                      0,-2.5526907444000244e+00,+6.2295979261398315e-01,+1.0194282047450542e-02,+2.5557668879628181e-02,+1.3175367712392472e-05,+1.9122336525470018e-03,                    0x3,                      0,                      0,-2.2828311920166016e+00,+4.8900008201599121e-01,+9.0538347139954567e-03,+8.7458223104476929e-02,+3.1392573873745278e-05,-3.0589752714149654e-04,                    0x1,                      0,                      0,+1.4826580286026001e+00,
+1.1666667275130749e+00,                     71,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6190598437382658e+02,-1.9095262204144265e+02,-4.9598864524090019e-03,+2.9022541046142578e+00,-3.8794674910604954e-03,+4.8062187852337956e-04,                    0x3,                      0,                      0,-2.5907735824584961e+00,+6.3095581531524658e-01,+1.0344565846025944e-02,+2.6962542906403542e-02,+1.3698577276954893e-05,+1.9012585980817676e-03,                    0x3,                      0,                      0,-2.2840409278869629e+00,+4.8333662748336792e-01,+9.0527692809700966e-03,+8.4292434155941010e-02,+3.1392573873745278e-05,-6.5850320970639586e-04,                    0x1,                      0,                      0,+1.5267755985260010e+00,
+1.1833333950489759e+00,                     72,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6186248465581610e+02,-1.9094205107500932e+02,-4.9595823985982218e-03,+2.9027261734008789e+00,-3.8792295381426811e-03,+5.1204947521910071e-04,                    0x3,                      0,                      0,-2.6288759708404541e+00,+6.3885867595672607e-01,+1.0494796559214592e-02,+2.8312671929597855e-02,+1.4269351595430635e-05,+1.8856560345739126e-03,                    0x3,                      0,                      0,-2.2852420806884766e+00,+4.7765722870826721e-01,+9.0516600757837296e-03,+8.1007733941078186e-02,+3.4246459108544514e-05,-9.3615375226363540e-04,                    0x1,                      0,                      0,+1.5715413093566895e+00,
+1.2000000625848770e+00,                     73,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6181834959281150e+02,-1.9093134978648067e+02,-4.9592661826347141e-03,+2.9032194614410400e+00,-3.8789822719991207e-03,+5.4315227316692472e-04,                    0x3,                      0,                      0,-2.6669976711273193e+00,+6.4666843414306641e-01,+1.0644974187016487e-02,+2.9606852680444717e-02,+1.4840125004411675e-05,+1.8661655485630035e-03,                    0x3,                      0,                      0,-2.2864315509796143e+00,+4.7197332978248596e-01,+9.0505052357912064e-03,+7.7650837600231171e-02,+3.4246404538862407e-05,-1.1694290442392230e-03,                    0x1,                      0,                      0,+1.6169551610946655e+00,
+1.2166667301207781e+00,                     74,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6177357886663242e+02,-1.9092051971327248e+02,-4.9589372977620902e-03,+2.9037334918975830e+00,-3.8787249941378832e-03,+5.7381589431315660e-04,                    0x3,                      0,                      0,-2.7051386833190918e+00,+6.5438550710678101e-01,+1.0795095004141331e-02,+3.0841294676065445e-02,+1.5434681699844077e-05,+1.8398195970803499e-03,                    0x3,                      0,                      0,-2.2876043319702148e+00,+4.6630373597145081e-01,+9.0493047609925270e-03,+7.4066512286663055e-02,+3.5673398087965325e-05,-1.5807569725438952e-03,                    0x1,                      0,                      0,+1.6630171537399292e+00,
+1.2333333976566792e+00,                     75,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6172817216290241e+02,-1.9090956238550186e+02,-4.9585957439803111e-03,+2.9042670726776123e+00,-3.8784579373896122e-03,+6.0400011716410518e-04,                    0x3,                      0,                      0,-2.7432985305786133e+00,+6.6201037168502808e-01,+1.0945158079266548e-02,+3.2016333192586899e-02,+1.6029238395276479e-05,+1.8110529053956270e-03,                    0x3,                      0,                      0,-2.2887580394744873e+00,+4.6065655350685120e-01,+9.0480586513876915e-03,+7.0502310991287231e-02,+3.5673398087965325e-05,-1.7260013846680522e-03,                    0x1,                      0,                      0,+1.7097272872924805e+00,
+1.2500000651925802e+00,                     76,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6168212917669211e+02,-1.9089847931965917e+02,-4.9582405077766324e-03,+2.9048192501068115e+00,-3.8781799376010895e-03,+6.3360237982124090e-04,                    0x3,                      0,                      0,-2.7814764976501465e+00,+6.6954386234283447e-01,+1.1095158755779266e-02,+3.3129028975963593e-02,+1.6671358025632799e-05,+1.7761361086741090e-03,                    0x3,                      0,                      0,-2.2898883819580078e+00,+4.5504891872406006e-01,+9.0467622503638268e-03,+6.6761747002601624e-02,+3.8527174183400348e-05,-2.0950078032910824e-03,                    0x1,                      0,                      0,+1.7570854425430298e+00,
+1.2666667327284813e+00,                     77,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6163544961294275e+02,-1.9088727201692447e+02,-4.9578720959073622e-03,+2.9053890705108643e+00,-3.8778916932642460e-03,+6.6255859564989805e-04,                    0x3,                      0,                      0,-2.8196723461151123e+00,+6.7698699235916138e-01,+1.1245097033679485e-02,+3.4178603440523148e-02,+1.7289698007516563e-05,+1.7373732989653945e-03,                    0x3,                      0,                      0,-2.2909922599792480e+00,+4.4949263334274292e-01,+9.0454174205660820e-03,+6.2974467873573303e-02,+3.7100395275047049e-05,-2.3257683496922255e-03,                    0x1,                      0,                      0,+1.8050915002822876e+00,
+1.2833334002643824e+00,                     78,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6158813318356442e+02,-1.9087594195802697e+02,-4.9574900016161032e-03,+2.9059751033782959e+00,-3.8775929715484381e-03,+6.9079321110621095e-04,                    0x3,                      0,                      0,-2.8578855991363525e+00,+6.8434095382690430e-01,+1.1394969187676907e-02,+3.5163704305887222e-02,+1.7931817637872882e-05,+1.6940739005804062e-03,                    0x3,                      0,                      0,-2.2920665740966797e+00,+4.4400104880332947e-01,+9.0440232306718826e-03,+5.9106048196554184e-02,+3.8527174183400348e-05,-2.5979636702686548e-03,                    0x1,                      0,                      0,+1.8537455797195435e+00,
