                simTime,               simFrame,               objectId,               category,                   type,                vismask,                   name,                   dimX,                   dimY,                   dimZ,                   offX,                   offY,                   offZ,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,               distance,
+8.8333337940275669e-01,                     54,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6254902396217733e+02,-1.9111103832511154e+02,+1.1821095315741432e+02,+2.8982737064361572e+00,-3.8032841403037310e-03,-6.2284627455611030e-10,                    0x3,                      0,                      0,-1.9460034370422363e+00,+4.8307064175605774e-01,+7.6258145272731781e-03,-4.6467679482020685e-08,+7.7955759479664266e-05,-1.4065539843954866e-09,                    0x3,                      0,                      0,-2.2664256095886230e+00,+5.6261146068572998e-01,+8.8814543560147285e-03,-5.1822436120119164e-08,+1.0089453280670568e-04,-9.7025054657251530e-10,                    0x1,                      0,                      0,+8.6495965719223022e-01,
+9.0000004693865776e-01,                     55,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6251627579220366e+02,-1.9110290900767168e+02,+1.1821095061499337e+02,+2.8982737064361572e+00,-3.8019560743123293e-03,-6.4652677655985258e-10,                    0x3,                      0,                      0,-1.9837766885757446e+00,+4.9244737625122070e-01,+7.7711222693324089e-03,-4.7315936058112129e-08,+7.9684497904963791e-05,-1.4208324516928883e-09,                    0x3,                      0,                      0,-2.2663598060607910e+00,+5.6259512901306152e-01,+8.8780960068106651e-03,-5.0895391012772961e-08,+1.0372429824201390e-04,-8.5670798233294931e-10,                    0x1,                      0,                      0,+8.9870172739028931e-01,
+9.1666671447455883e-01,                     56,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6248289758372175e+02,-1.9109462540173405e+02,+1.1821094798582322e+02,+2.8983032703399658e+00,-3.8005991373211145e-03,+2.4763665351201780e-05,                    0x3,                      0,                      0,-2.0215785503387451e+00,+5.0170397758483887e-01,+7.9162623733282089e-03,+1.7784612718969584e-03,+8.1412821600679308e-05,+1.4858585782349110e-03,                    0x3,                      0,                      0,-2.2671999931335449e+00,+5.5891549587249756e-01,+8.8746566325426102e-03,+1.0671050846576691e-01,+1.0369941446697339e-04,+8.9151598513126373e-02,                    0x1,                      0,                      0,+9.3309247493743896e-01,
+9.3333338201045990e-01,                     57,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6244888906984312e+02,-1.9108618866787685e+02,+1.1821094526800563e+02,+2.8983635902404785e+00,-3.7992130964994431e-03,+5.1361908845137805e-05,                    0x3,                      0,                      0,-2.0593965053558350e+00,+5.1089036464691162e-01,+8.0612292513251305e-03,+3.6210210528224707e-03,+8.3164493844378740e-05,+1.5958944568410516e-03,                    0x3,                      0,                      0,-2.2681193351745605e+00,+5.5489897727966309e-01,+8.8711371645331383e-03,+1.1055357754230499e-01,+1.0510032734600827e-04,+6.6021522507071495e-03,                    0x1,                      0,                      0,+9.6813184022903442e-01,
+9.5000004954636097e-01,                     58,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6241424997940464e+02,-1.9107759998528786e+02,+1.1821094245909063e+02,+2.8984546661376953e+00,-3.7977979518473148e-03,+7.8866934927646071e-05,                    0x3,                      0,                      0,-2.0972309112548828e+00,+5.2000540494918823e-01,+8.2060219720005989e-03,+5.4599880240857601e-03,+8.4915707702748477e-05,+1.6503015067428350e-03,                    0x3,                      0,                      0,-2.2690844535827637e+00,+5.5068033933639526e-01,+8.8675357401371002e-03,+1.1033800989389420e-01,+1.0507282422622666e-04,+3.2644227612763643e-03,                    0x1,                      0,                      0,+1.0038198232650757e+00,
+9.6666671708226204e-01,                     59,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6237898002994285e+02,-1.9106886058051700e+02,+1.1821093955709023e+02,+2.8985762596130371e+00,-3.7963530048727989e-03,+1.0717134864535183e-04,                    0x3,                      0,                      0,-2.1350824832916260e+00,+5.2904629707336426e-01,+8.3506330847740173e-03,+7.2882529348134995e-03,+8.6690211901441216e-05,+1.6982648521661758e-03,                    0x3,                      0,                      0,-2.2700905799865723e+00,+5.4627537727355957e-01,+8.8638504967093468e-03,+1.0969588905572891e-01,+1.0647024464560673e-04,+2.8778004925698042e-03,                    0x1,                      0,                      0,+1.0401563644409180e+00,
+9.8333338461816311e-01,                     60,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6234307893216800e+02,-1.9105997172650720e+02,+1.1821093655946517e+02,+2.8987278938293457e+00,-3.7948787212371826e-03,+1.3619831588584930e-04,                    0x3,                      0,                      0,-2.1729512214660645e+00,+5.3801017999649048e-01,+8.4950607270002365e-03,+9.1012427583336830e-03,+8.8464206783100963e-05,+1.7416182672604918e-03,                    0x3,                      0,                      0,-2.2711343765258789e+00,+5.4169571399688721e-01,+8.8600823655724525e-03,+1.0877938568592072e-01,+1.0643968562362716e-04,+2.6012046728283167e-03,                    0x1,                      0,                      0,+1.0771415233612061e+00,
+1.0000000521540642e+00,                     61,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6230654638696609e+02,-1.9105093473865855e+02,+1.1821093346413824e+02,+2.8989093303680420e+00,-3.7933744024485350e-03,+1.6587389109190553e-04,                    0x3,                      0,                      0,-2.2108383178710938e+00,+5.4689460992813110e-01,+8.6393002420663834e-03,+1.0894886218011379e-02,+9.0261441073380411e-05,+1.7805343959480524e-03,                    0x3,                      0,                      0,-2.2722122669219971e+00,+5.3695267438888550e-01,+8.8562294840812683e-03,+1.0761860013008118e-01,+1.0783405014080927e-04,+2.3349674884229898e-03,                    0x1,                      0,                      0,+1.1147751808166504e+00,
+1.0166667196899652e+00,                     62,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6226938208623631e+02,-1.9104175097203373e+02,+1.1821093026848071e+02,+2.8991205692291260e+00,-3.7918400485068560e-03,+1.9612832693383098e-04,                    0x3,                      0,                      0,-2.2487437725067139e+00,+5.5569714307785034e-01,+8.7833469733595848e-03,+1.2665660120546818e-02,+9.2058100563008338e-05,+1.8152658594772220e-03,                    0x3,                      0,                      0,-2.2733209133148193e+00,+5.3205710649490356e-01,+8.8522909209132195e-03,+1.0624642670154572e-01,+1.0779956210171804e-04,+2.0838878117501736e-03,                    0x1,                      0,                      0,+1.1530573368072510e+00,
+1.0333333872258663e+00,                     63,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6223158571786769e+02,-1.9103242181828739e+02,+1.1821092697032637e+02,+2.8993606567382812e+00,-3.7902754265815020e-03,+2.2687927412334830e-04,                    0x3,                      0,                      0,-2.2866683006286621e+00,+5.6441569328308105e-01,+8.9271971955895424e-03,+1.4409471303224564e-02,+9.3877941253595054e-05,+1.8450567731633782e-03,                    0x3,                      0,                      0,-2.2744567394256592e+00,+5.2702188491821289e-01,+8.8482657447457314e-03,+1.0462866723537445e-01,+1.0919043415924534e-04,+1.7874547047540545e-03,                    0x1,                      0,                      0,+1.1919879913330078e+00,
