                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,                accMask,               accSpeed,           batteryState,            batteryRate,       displayLightMask,              fuelGauge,
+7.6666670665144920e-01,                     47,                      1,                      0,-6.0023793935215508e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.8333337418735027e-01,                     48,                      1,                      0,-6.0093100273661548e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.0000004172325134e-01,                     49,                      1,                      0,-6.0150966874061851e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.1666670925915241e-01,                     50,                      1,                      0,-6.0196541085133504e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.3333337679505348e-01,                     51,                      1,                      0,-6.0228863674183231e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.5000004433095455e-01,                     52,                      1,                      0,-6.0247032251936616e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.6666671186685562e-01,                     53,                      1,                      0,-6.0250101796555100e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.8333337940275669e-01,                     54,                      1,                      0,-6.0237134391627478e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.0000004693865776e-01,                     55,                      1,                      0,-6.0207142382751044e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.1666671447455883e-01,                     56,                      1,                      0,+2.2221584804356098e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.3333338201045990e-01,                     57,                      1,                      0,+4.4443551450967789e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.5000004954636097e-01,                     58,                      1,                      0,+6.5851844847202301e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.6666671708226204e-01,                     59,                      1,                      0,+8.6406115442514420e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.8333338461816311e-01,                     60,                      1,                      0,+1.0609815828502178e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.0000000521540642e+00,                     61,                      1,                      0,+1.2492592446506023e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.0166667196899652e+00,                     62,                      1,                      0,+1.4289352111518383e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
